time,x,y,pitch,roll,yaw
01:57:02,0.00319351739322726,0.002995084654992831,-0.023815572942064895,-0.002318894803759599,-0.00018074676280713264
01:57:03,-0.27670259493251537,0.005721111302969655,-4.419428363622463,-1.524941607691214,0.05507950746376096
01:57:03,-1.2306279980339736,0.5794527454154004,-10.984238980363047,-2.110639959800877,-1.0117147369239168
01:57:04,-0.6542424890756717,1.0136196171757719,-12.527626504114197,-0.8670201852299375,1.9589037367405784
01:57:05,1.5059417776609803,2.789895703593697,-13.755388255416962,3.0263484820196043,1.4817078331954607
01:57:06,2.6453154925746096,4.403677872906747,-17.252070750593443,3.5582682543650703,-2.885543541143869
01:57:06,2.673389167412181,3.9039866032798236,-13.911861856238305,0.08295286882569197,-7.518883610499724
01:57:07,1.6465649103968976,2.7924514958150097,-13.634484502404838,-5.282017643429667,-5.946484534795048
01:57:08,1.0699623138554757,3.4493961745878345,-8.638635620042503,1.5983624662514302,-6.070501944490972
01:57:08,1.8074243526678802,7.196910637525219,-6.384418645331496,11.923742554178721,-8.092177309152733
01:57:09,2.350560277088544,12.8291069262356,-5.5282672427274395,13.26209400477179,-6.055558777947462
01:57:10,2.1235811218570553,18.10772592667793,-4.759117718956132,8.439152082829434,-4.923957200450751
01:57:11,0.4220578863937481,24.238027504350946,-7.77987050654443,3.628470723360547,-7.292894128624718
01:57:11,-1.085738860131203,29.946333850328934,-1.7074785184580352,0.6204941274293883,-4.152172547260313
01:57:12,-2.4123780094004985,36.462918458954164,0.9420359669372005,4.260610593959461,-5.709524525940872
01:57:13,-1.9666067741589794,44.01688513947332,7.954157452705766,10.426425316953313,-3.9464654012490765
01:57:14,-0.578345235831593,51.05557409227183,12.937663832608235,5.469346156467926,-3.5484730851559227
01:57:15,1.1981467347421755,58.228194187237634,10.055067592824287,5.111889941201661,-3.969524263425637
01:57:15,3.322823658752276,65.6317721116232,7.729214562746421,3.985865178267596,-3.9634726193114997
01:57:16,5.054347087388221,72.75706677318054,4.892019200335292,1.0711834957964437,-4.001801037606392
